edge_id,source_id,relation,target_id,properties_json
e:obs:electricity:2022-01:metric,obs:electricity:2022-01,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2022-01:time,obs:electricity:2022-01,AT_TIME,period:M:2022-01,{}
e:obs:electricity:2022-02:region,obs:electricity:2022-02,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2022-02:metric,obs:electricity:2022-02,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2022-02:time,obs:electricity:2022-02,AT_TIME,period:M:2022-02,{}
e:obs:electricity:2022-03:region,obs:electricity:2022-03,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2022-03:metric,obs:electricity:2022-03,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2022-03:time,obs:electricity:2022-03,AT_TIME,period:M:2022-03,{}
e:obs:electricity:2022-04:region,obs:electricity:2022-04,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2022-04:metric,obs:electricity:2022-04,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2022-04:time,obs:electricity:2022-04,AT_TIME,period:M:2022-04,{}
e:obs:electricity:2022-05:region,obs:electricity:2022-05,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2022-05:metric,obs:electricity:2022-05,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2022-05:time,obs:electricity:2022-05,AT_TIME,period:M:2022-05,{}
e:obs:electricity:2022-06:region,obs:electricity:2022-06,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2022-06:metric,obs:electricity:2022-06,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2022-06:time,obs:electricity:2022-06,AT_TIME,period:M:2022-06,{}
e:obs:electricity:2022-07:region,obs:electricity:2022-07,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2022-07:metric,obs:electricity:2022-07,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2022-07:time,obs:electricity:2022-07,AT_TIME,period:M:2022-07,{}
e:obs:electricity:2022-08:region,obs:electricity:2022-08,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2022-08:metric,obs:electricity:2022-08,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2022-08:time,obs:electricity:2022-08,AT_TIME,period:M:2022-08,{}
e:obs:electricity:2022-09:region,obs:electricity:2022-09,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2022-09:metric,obs:electricity:2022-09,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2022-09:time,obs:electricity:2022-09,AT_TIME,period:M:2022-09,{}
e:obs:electricity:2022-10:region,obs:electricity:2022-10,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2022-10:metric,obs:electricity:2022-10,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2022-10:time,obs:electricity:2022-10,AT_TIME,period:M:2022-10,{}
e:obs:electricity:2022-11:region,obs:electricity:2022-11,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2022-11:metric,obs:electricity:2022-11,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2022-11:time,obs:electricity:2022-11,AT_TIME,period:M:2022-11,{}
e:obs:electricity:2022-12:region,obs:electricity:2022-12,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2022-12:metric,obs:electricity:2022-12,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2022-12:time,obs:electricity:2022-12,AT_TIME,period:M:2022-12,{}
e:obs:electricity:2023-01:region,obs:electricity:2023-01,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2023-01:metric,obs:electricity:2023-01,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2023-01:time,obs:electricity:2023-01,AT_TIME,period:M:2023-01,{}
e:obs:electricity:2023-02:region,obs:electricity:2023-02,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2023-02:metric,obs:electricity:2023-02,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2023-02:time,obs:electricity:2023-02,AT_TIME,period:M:2023-02,{}
e:obs:electricity:2023-03:region,obs:electricity:2023-03,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2023-03:metric,obs:electricity:2023-03,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2023-03:time,obs:electricity:2023-03,AT_TIME,period:M:2023-03,{}
e:obs:electricity:2023-04:region,obs:electricity:2023-04,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2023-04:metric,obs:electricity:2023-04,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2023-04:time,obs:electricity:2023-04,AT_TIME,period:M:2023-04,{}
e:obs:electricity:2023-05:region,obs:electricity:2023-05,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2023-05:metric,obs:electricity:2023-05,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2023-05:time,obs:electricity:2023-05,AT_TIME,period:M:2023-05,{}
e:obs:electricity:2023-06:region,obs:electricity:2023-06,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2023-06:metric,obs:electricity:2023-06,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2023-06:time,obs:electricity:2023-06,AT_TIME,period:M:2023-06,{}
e:obs:electricity:2023-07:region,obs:electricity:2023-07,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2023-07:metric,obs:electricity:2023-07,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2023-07:time,obs:electricity:2023-07,AT_TIME,period:M:2023-07,{}
e:obs:electricity:2023-08:region,obs:electricity:2023-08,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2023-08:metric,obs:electricity:2023-08,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2023-08:time,obs:electricity:2023-08,AT_TIME,period:M:2023-08,{}
e:obs:electricity:2023-09:region,obs:electricity:2023-09,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2023-09:metric,obs:electricity:2023-09,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2023-09:time,obs:electricity:2023-09,AT_TIME,period:M:2023-09,{}
e:obs:electricity:2023-10:region,obs:electricity:2023-10,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2023-10:metric,obs:electricity:2023-10,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2023-10:time,obs:electricity:2023-10,AT_TIME,period:M:2023-10,{}
e:obs:electricity:2023-11:region,obs:electricity:2023-11,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2023-11:metric,obs:electricity:2023-11,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2023-11:time,obs:electricity:2023-11,AT_TIME,period:M:2023-11,{}
e:obs:electricity:2023-12:region,obs:electricity:2023-12,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2023-12:metric,obs:electricity:2023-12,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2023-12:time,obs:electricity:2023-12,AT_TIME,period:M:2023-12,{}
e:obs:electricity:2024-01:region,obs:electricity:2024-01,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2024-01:metric,obs:electricity:2024-01,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2024-01:time,obs:electricity:2024-01,AT_TIME,period:M:2024-01,{}
e:obs:electricity:2024-02:region,obs:electricity:2024-02,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2024-02:metric,obs:electricity:2024-02,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2024-02:time,obs:electricity:2024-02,AT_TIME,period:M:2024-02,{}
e:obs:electricity:2024-03:region,obs:electricity:2024-03,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2024-03:metric,obs:electricity:2024-03,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2024-03:time,obs:electricity:2024-03,AT_TIME,period:M:2024-03,{}
e:obs:electricity:2024-04:region,obs:electricity:2024-04,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2024-04:metric,obs:electricity:2024-04,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2024-04:time,obs:electricity:2024-04,AT_TIME,period:M:2024-04,{}
e:obs:electricity:2024-05:region,obs:electricity:2024-05,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2024-05:metric,obs:electricity:2024-05,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2024-05:time,obs:electricity:2024-05,AT_TIME,period:M:2024-05,{}
e:obs:electricity:2024-06:region,obs:electricity:2024-06,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2024-06:metric,obs:electricity:2024-06,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2024-06:time,obs:electricity:2024-06,AT_TIME,period:M:2024-06,{}
e:obs:electricity:2024-07:region,obs:electricity:2024-07,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2024-07:metric,obs:electricity:2024-07,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2024-07:time,obs:electricity:2024-07,AT_TIME,period:M:2024-07,{}
e:obs:electricity:2024-08:region,obs:electricity:2024-08,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2024-08:metric,obs:electricity:2024-08,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2024-08:time,obs:electricity:2024-08,AT_TIME,period:M:2024-08,{}
e:obs:electricity:2024-09:region,obs:electricity:2024-09,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2024-09:metric,obs:electricity:2024-09,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2024-09:time,obs:electricity:2024-09,AT_TIME,period:M:2024-09,{}
e:obs:electricity:2024-10:region,obs:electricity:2024-10,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2024-10:metric,obs:electricity:2024-10,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2024-10:time,obs:electricity:2024-10,AT_TIME,period:M:2024-10,{}
e:obs:electricity:2024-11:region,obs:electricity:2024-11,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2024-11:metric,obs:electricity:2024-11,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2024-11:time,obs:electricity:2024-11,AT_TIME,period:M:2024-11,{}
e:obs:electricity:2024-12:region,obs:electricity:2024-12,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2024-12:metric,obs:electricity:2024-12,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2024-12:time,obs:electricity:2024-12,AT_TIME,period:M:2024-12,{}
e:obs:electricity:2025-01:region,obs:electricity:2025-01,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2025-01:metric,obs:electricity:2025-01,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2025-01:time,obs:electricity:2025-01,AT_TIME,period:M:2025-01,{}
e:obs:electricity:2025-02:region,obs:electricity:2025-02,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2025-02:metric,obs:electricity:2025-02,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2025-02:time,obs:electricity:2025-02,AT_TIME,period:M:2025-02,{}
e:obs:electricity:2025-03:region,obs:electricity:2025-03,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2025-03:metric,obs:electricity:2025-03,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2025-03:time,obs:electricity:2025-03,AT_TIME,period:M:2025-03,{}
e:obs:gdp_primary:2000Q1:region,obs:gdp_primary:2000Q1,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_primary:2000Q1:metric,obs:gdp_primary:2000Q1,MEASURES,metric:gdp_primary_quarterly,{}
e:obs:gdp_primary:2000Q1:time,obs:gdp_primary:2000Q1,AT_TIME,period:Q:2000Q1,{}
e:obs:gdp_tertiary:2000Q1:region,obs:gdp_tertiary:2000Q1,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_tertiary:2000Q1:metric,obs:gdp_tertiary:2000Q1,MEASURES,metric:gdp_tertiary_quarterly,{}
e:obs:gdp_tertiary:2000Q1:time,obs:gdp_tertiary:2000Q1,AT_TIME,period:Q:2000Q1,{}
e:obs:gdp_secondary:2000Q1:region,obs:gdp_secondary:2000Q1,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_secondary:2000Q1:metric,obs:gdp_secondary:2000Q1,MEASURES,metric:gdp_secondary_quarterly,{}
e:obs:gdp_secondary:2000Q1:time,obs:gdp_secondary:2000Q1,AT_TIME,period:Q:2000Q1,{}
e:obs:gdp_primary:2000Q2:region,obs:gdp_primary:2000Q2,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_primary:2000Q2:metric,obs:gdp_primary:2000Q2,MEASURES,metric:gdp_primary_quarterly,{}
e:obs:gdp_primary:2000Q2:time,obs:gdp_primary:2000Q2,AT_TIME,period:Q:2000Q2,{}
e:obs:gdp_tertiary:2000Q2:region,obs:gdp_tertiary:2000Q2,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_tertiary:2000Q2:metric,obs:gdp_tertiary:2000Q2,MEASURES,metric:gdp_tertiary_quarterly,{}
e:obs:gdp_tertiary:2000Q2:time,obs:gdp_tertiary:2000Q2,AT_TIME,period:Q:2000Q2,{}
e:obs:gdp_secondary:2000Q2:region,obs:gdp_secondary:2000Q2,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_secondary:2000Q2:metric,obs:gdp_secondary:2000Q2,MEASURES,metric:gdp_secondary_quarterly,{}
e:obs:gdp_secondary:2000Q2:time,obs:gdp_secondary:2000Q2,AT_TIME,period:Q:2000Q2,{}
e:obs:gdp_primary:2000Q3:region,obs:gdp_primary:2000Q3,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_primary:2000Q3:metric,obs:gdp_primary:2000Q3,MEASURES,metric:gdp_primary_quarterly,{}
e:obs:gdp_primary:2000Q3:time,obs:gdp_primary:2000Q3,AT_TIME,period:Q:2000Q3,{}
e:obs:gdp_tertiary:2000Q3:region,obs:gdp_tertiary:2000Q3,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_tertiary:2000Q3:metric,obs:gdp_tertiary:2000Q3,MEASURES,metric:gdp_tertiary_quarterly,{}
e:obs:gdp_tertiary:2000Q3:time,obs:gdp_tertiary:2000Q3,AT_TIME,period:Q:2000Q3,{}
e:obs:gdp_secondary:2000Q3:region,obs:gdp_secondary:2000Q3,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_secondary:2000Q3:metric,obs:gdp_secondary:2000Q3,MEASURES,metric:gdp_secondary_quarterly,{}
e:obs:gdp_secondary:2000Q3:time,obs:gdp_secondary:2000Q3,AT_TIME,period:Q:2000Q3,{}
e:obs:gdp_primary:2000Q4:region,obs:gdp_primary:2000Q4,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_primary:2000Q4:metric,obs:gdp_primary:2000Q4,MEASURES,metric:gdp_primary_quarterly,{}
e:obs:gdp_primary:2000Q4:time,obs:gdp_primary:2000Q4,AT_TIME,period:Q:2000Q4,{}
e:obs:gdp_tertiary:2000Q4:region,obs:gdp_tertiary:2000Q4,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_tertiary:2000Q4:metric,obs:gdp_tertiary:2000Q4,MEASURES,metric:gdp_tertiary_quarterly,{}
e:obs:gdp_tertiary:2000Q4:time,obs:gdp_tertiary:2000Q4,AT_TIME,period:Q:2000Q4,{}
e:obs:gdp_secondary:2000Q4:region,obs:gdp_secondary:2000Q4,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_secondary:2000Q4:metric,obs:gdp_secondary:2000Q4,MEASURES,metric:gdp_secondary_quarterly,{}
e:obs:gdp_secondary:2000Q4:time,obs:gdp_secondary:2000Q4,AT_TIME,period:Q:2000Q4,{}
e:obs:gdp_primary:2001Q1:region,obs:gdp_primary:2001Q1,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_primary:2001Q1:metric,obs:gdp_primary:2001Q1,MEASURES,metric:gdp_primary_quarterly,{}
e:obs:gdp_primary:2001Q1:time,obs:gdp_primary:2001Q1,AT_TIME,period:Q:2001Q1,{}
e:obs:gdp_tertiary:2001Q1:region,obs:gdp_tertiary:2001Q1,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_tertiary:2001Q1:metric,obs:gdp_tertiary:2001Q1,MEASURES,metric:gdp_tertiary_quarterly,{}
e:obs:gdp_tertiary:2001Q1:time,obs:gdp_tertiary:2001Q1,AT_TIME,period:Q:2001Q1,{}
e:obs:gdp_secondary:2001Q1:region,obs:gdp_secondary:2001Q1,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_secondary:2001Q1:metric,obs:gdp_secondary:2001Q1,MEASURES,metric:gdp_secondary_quarterly,{}
e:obs:gdp_secondary:2001Q1:time,obs:gdp_secondary:2001Q1,AT_TIME,period:Q:2001Q1,{}
e:obs:gdp_primary:2001Q2:region,obs:gdp_primary:2001Q2,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_primary:2001Q2:metric,obs:gdp_primary:2001Q2,MEASURES,metric:gdp_primary_quarterly,{}
e:obs:gdp_primary:2001Q2:time,obs:gdp_primary:2001Q2,AT_TIME,period:Q:2001Q2,{}
e:obs:gdp_tertiary:2001Q2:region,obs:gdp_tertiary:2001Q2,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_tertiary:2001Q2:metric,obs:gdp_tertiary:2001Q2,MEASURES,metric:gdp_tertiary_quarterly,{}
e:obs:gdp_tertiary:2001Q2:time,obs:gdp_tertiary:2001Q2,AT_TIME,period:Q:2001Q2,{}
e:obs:gdp_secondary:2001Q2:region,obs:gdp_secondary:2001Q2,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_secondary:2001Q2:metric,obs:gdp_secondary:2001Q2,MEASURES,metric:gdp_secondary_quarterly,{}
e:obs:gdp_secondary:2001Q2:time,obs:gdp_secondary:2001Q2,AT_TIME,period:Q:2001Q2,{}
e:obs:gdp_primary:2001Q3:region,obs:gdp_primary:2001Q3,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_primary:2001Q3:metric,obs:gdp_primary:2001Q3,MEASURES,metric:gdp_primary_quarterly,{}
e:obs:gdp_primary:2001Q3:time,obs:gdp_primary:2001Q3,AT_TIME,period:Q:2001Q3,{}
e:obs:gdp_tertiary:2001Q3:region,obs:gdp_tertiary:2001Q3,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_tertiary:2001Q3:metric,obs:gdp_tertiary:2001Q3,MEASURES,metric:gdp_tertiary_quarterly,{}
e:obs:gdp_tertiary:2001Q3:time,obs:gdp_tertiary:2001Q3,AT_TIME,period:Q:2001Q3,{}
e:obs:gdp_secondary:2001Q3:region,obs:gdp_secondary:2001Q3,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_secondary:2001Q3:metric,obs:gdp_secondary:2001Q3,MEASURES,metric:gdp_secondary_quarterly,{}
e:obs:gdp_secondary:2001Q3:time,obs:gdp_secondary:2001Q3,AT_TIME,period:Q:2001Q3,{}
e:obs:gdp_primary:2001Q4:region,obs:gdp_primary:2001Q4,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_primary:2001Q4:metric,obs:gdp_primary:2001Q4,MEASURES,metric:gdp_primary_quarterly,{}
e:obs:gdp_primary:2001Q4:time,obs:gdp_primary:2001Q4,AT_TIME,period:Q:2001Q4,{}
e:obs:gdp_tertiary:2001Q4:region,obs:gdp_tertiary:2001Q4,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_tertiary:2001Q4:metric,obs:gdp_tertiary:2001Q4,MEASURES,metric:gdp_tertiary_quarterly,{}
e:obs:gdp_tertiary:2001Q4:time,obs:gdp_tertiary:2001Q4,AT_TIME,period:Q:2001Q4,{}
e:obs:gdp_secondary:2001Q4:region,obs:gdp_secondary:2001Q4,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_secondary:2001Q4:metric,obs:gdp_secondary:2001Q4,MEASURES,metric:gdp_secondary_quarterly,{}
e:obs:gdp_secondary:2001Q4:time,obs:gdp_secondary:2001Q4,AT_TIME,period:Q:2001Q4,{}
e:obs:gdp_primary:2002Q1:region,obs:gdp_primary:2002Q1,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_primary:2002Q1:metric,obs:gdp_primary:2002Q1,MEASURES,metric:gdp_primary_quarterly,{}
e:obs:gdp_primary:2002Q1:time,obs:gdp_primary:2002Q1,AT_TIME,period:Q:2002Q1,{}
e:obs:gdp_tertiary:2002Q1:region,obs:gdp_tertiary:2002Q1,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_tertiary:2002Q1:metric,obs:gdp_tertiary:2002Q1,MEASURES,metric:gdp_tertiary_quarterly,{}
e:obs:gdp_tertiary:2002Q1:time,obs:gdp_tertiary:2002Q1,AT_TIME,period:Q:2002Q1,{}
e:obs:gdp_secondary:2002Q1:region,obs:gdp_secondary:2002Q1,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_secondary:2002Q1:metric,obs:gdp_secondary:2002Q1,MEASURES,metric:gdp_secondary_quarterly,{}
e:obs:gdp_secondary:2002Q1:time,obs:gdp_secondary:2002Q1,AT_TIME,period:Q:2002Q1,{}
e:obs:gdp_primary:2002Q2:region,obs:gdp_primary:2002Q2,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_primary:2002Q2:metric,obs:gdp_primary:2002Q2,MEASURES,metric:gdp_primary_quarterly,{}
e:obs:gdp_primary:2002Q2:time,obs:gdp_primary:2002Q2,AT_TIME,period:Q:2002Q2,{}
e:obs:gdp_tertiary:2002Q2:region,obs:gdp_tertiary:2002Q2,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_tertiary:2002Q2:metric,obs:gdp_tertiary:2002Q2,MEASURES,metric:gdp_tertiary_quarterly,{}
e:obs:gdp_tertiary:2002Q2:time,obs:gdp_tertiary:2002Q2,AT_TIME,period:Q:2002Q2,{}
e:obs:gdp_secondary:2002Q2:region,obs:gdp_secondary:2002Q2,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_secondary:2002Q2:metric,obs:gdp_secondary:2002Q2,MEASURES,metric:gdp_secondary_quarterly,{}
e:obs:gdp_secondary:2002Q2:time,obs:gdp_secondary:2002Q2,AT_TIME,period:Q:2002Q2,{}
e:obs:gdp_primary:2002Q3:region,obs:gdp_primary:2002Q3,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_primary:2002Q3:metric,obs:gdp_primary:2002Q3,MEASURES,metric:gdp_primary_quarterly,{}
e:obs:gdp_primary:2002Q3:time,obs:gdp_primary:2002Q3,AT_TIME,period:Q:2002Q3,{}
e:obs:gdp_tertiary:2002Q3:region,obs:gdp_tertiary:2002Q3,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_tertiary:2002Q3:metric,obs:gdp_tertiary:2002Q3,MEASURES,metric:gdp_tertiary_quarterly,{}
e:obs:gdp_tertiary:2002Q3:time,obs:gdp_tertiary:2002Q3,AT_TIME,period:Q:2002Q3,{}
e:obs:gdp_secondary:2002Q3:region,obs:gdp_secondary:2002Q3,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_secondary:2002Q3:metric,obs:gdp_secondary:2002Q3,MEASURES,metric:gdp_secondary_quarterly,{}
e:obs:gdp_secondary:2002Q3:time,obs:gdp_secondary:2002Q3,AT_TIME,period:Q:2002Q3,{}
e:obs:gdp_primary:2002Q4:region,obs:gdp_primary:2002Q4,OBSERVED_IN,region:CN-ZJ,{}
e:obs:gdp_primary:2002Q4:metric,obs:gdp_primary:2002Q4,MEASURES,metric:gdp_primary_quarterly,{}
e:obs:gdp_primary:2002Q4:time,obs:gdp_primary:2002Q4,AT_TIME,period:Q:2002Q4,{}
e:obs:gdp_tertiary:2002Q4:region,obs:gdp_tertiary:2002Q4,OBSERVED_IN,region:CN-ZJ,{}
