month,anomaly_labels,evidence,candidate_causes,conclusion,confidence
2024-11,未触发强异常阈值,无强阈值证据,仍需结合行业用电、气温、价格和工作日结构进行常规解释,只能给出候选解释，不能仅凭相关性认定因果,低
2024-12,低温采暖负荷可能上升,采暖度日402.2,低温可能增加电采暖及生活用电,只能给出候选解释，不能仅凭相关性认定因果,低
2025-01,月度用电同比显著波动；低温采暖负荷可能上升；长假/月度工作日结构变化；用电与GDP增速出现较大偏离,全社会用电量同比-9.63%；采暖度日403.7；法定放假区间5天，工作日19天；月度用电同比与本季度累计GDP同比相差-15.53个百分点,春节在公历月份中的错位是同比异常的重要候选解释，应合并1—2月观察；低温可能增加电采暖及生活用电；长假、调休和春节月份错位会改变工业开工及商业用电节奏；产业结构、能效、天气、假期或统计频率不同可能造成偏离,只能给出候选解释，不能仅凭相关性认定因果,中高
2025-02,月度用电同比显著波动；低温采暖负荷可能上升；用电与GDP增速出现较大偏离,全社会用电量同比+12.77%；采暖度日345.3；月度用电同比与本季度累计GDP同比相差+6.87个百分点,春节在公历月份中的错位是同比异常的重要候选解释，应合并1—2月观察；低温可能增加电采暖及生活用电；产业结构、能效、天气、假期或统计频率不同可能造成偏离,只能给出候选解释，不能仅凭相关性认定因果,中高
2025-03,未触发强异常阈值,无强阈值证据,仍需结合行业用电、气温、价格和工作日结构进行常规解释,只能给出候选解释，不能仅凭相关性认定因果,低
2025-04,未触发强异常阈值,无强阈值证据,仍需结合行业用电、气温、价格和工作日结构进行常规解释,只能给出候选解释，不能仅凭相关性认定因果,低
2025-05,长假/月度工作日结构变化,法定放假区间6天，工作日19天,长假、调休和春节月份错位会改变工业开工及商业用电节奏,只能给出候选解释，不能仅凭相关性认定因果,低
2025-06,未触发强异常阈值,无强阈值证据,仍需结合行业用电、气温、价格和工作日结构进行常规解释,只能给出候选解释，不能仅凭相关性认定因果,低
2025-07,月度用电同比显著波动；高温制冷负荷显著,全社会用电量同比+8.54%；南京代表点≥35℃天数17天，制冷度日390.1,高温会抬升居民和服务业空调用电，但南京单点不能代表全省,只能给出候选解释，不能仅凭相关性认定因果,中
2025-08,高温制冷负荷显著,南京代表点≥35℃天数13天，制冷度日372.7,高温会抬升居民和服务业空调用电，但南京单点不能代表全省,只能给出候选解释，不能仅凭相关性认定因果,低
2025-09,未触发强异常阈值,无强阈值证据,仍需结合行业用电、气温、价格和工作日结构进行常规解释,只能给出候选解释，不能仅凭相关性认定因果,低
2025-10,月度用电同比显著波动；长假/月度工作日结构变化；用电与GDP增速出现较大偏离,全社会用电量同比+12.35%；法定放假区间8天，工作日18天；月度用电同比与本季度累计GDP同比相差+7.05个百分点,长假、调休和春节月份错位会改变工业开工及商业用电节奏；产业结构、能效、天气、假期或统计频率不同可能造成偏离,只能给出候选解释，不能仅凭相关性认定因果,中
2025-11,未触发强异常阈值,无强阈值证据,仍需结合行业用电、气温、价格和工作日结构进行常规解释,只能给出候选解释，不能仅凭相关性认定因果,低
2025-12,低温采暖负荷可能上升,采暖度日329.4,低温可能增加电采暖及生活用电,只能给出候选解释，不能仅凭相关性认定因果,低
