node_id,label,name,category,description,source_url,quality_flag
source_019,Source,国家能源局江苏监管办 2025-06 月报,source,,https://jsb.nea.gov.cn/dtyw/jgdt/202507/t20250718_284530.html,official-published
anomaly_2025-06,AnomalyAssessment,2025-06 异常诊断,diagnosis,未触发强异常阈值；只能给出候选解释，不能仅凭相关性认定因果,,confidence-低
month_2025-07,Month,2025-07,time,,,concept
source_020,Source,国家能源局江苏监管办 2025-07 月报,source,,https://jsb.nea.gov.cn/dtyw/jgdt/202508/t20250819_285911.html,official-published
anomaly_2025-07,AnomalyAssessment,2025-07 异常诊断,diagnosis,月度用电同比显著波动；高温制冷负荷显著；只能给出候选解释，不能仅凭相关性认定因果,,confidence-中
quarter_2025-Q3,Quarter,2025-Q3,time,,,concept
month_2025-08,Month,2025-08,time,,,concept
source_021,Source,国家能源局江苏监管办 2025-08 月报,source,,https://jsb.nea.gov.cn/dtyw/jgdt/202509/t20250919_287691.html,official-published
anomaly_2025-08,AnomalyAssessment,2025-08 异常诊断,diagnosis,高温制冷负荷显著；只能给出候选解释，不能仅凭相关性认定因果,,confidence-低
month_2025-09,Month,2025-09,time,,,concept
source_022,Source,国家能源局江苏监管办 2025-09 月报,source,,https://jsb.nea.gov.cn/dtyw/jgdt/202510/t20251016_288812.html,official-published
anomaly_2025-09,AnomalyAssessment,2025-09 异常诊断,diagnosis,未触发强异常阈值；只能给出候选解释，不能仅凭相关性认定因果,,confidence-低
month_2025-10,Month,2025-10,time,,,concept
source_023,Source,国家能源局江苏监管办 2025-10 月报,source,,https://jsb.nea.gov.cn/dtyw/jgdt/202511/t20251118_290592.html,official-published
anomaly_2025-10,AnomalyAssessment,2025-10 异常诊断,diagnosis,月度用电同比显著波动；长假/月度工作日结构变化；用电与GDP增速出现较大偏离；只能给出候选解释，不能仅凭相关性认定因果,,confidence-中
quarter_2025-Q4,Quarter,2025-Q4,time,,,concept
month_2025-11,Month,2025-11,time,,,concept
source_024,Source,国家能源局江苏监管办 2025-11 月报,source,,https://jsb.nea.gov.cn/dtyw/jgdt/202512/t20251218_292547.html,official-published
anomaly_2025-11,AnomalyAssessment,2025-11 异常诊断,diagnosis,未触发强异常阈值；只能给出候选解释，不能仅凭相关性认定因果,,confidence-低
month_2025-12,Month,2025-12,time,,,concept
source_025,Source,国家能源局江苏监管办 2025-12 月报,source,,https://jsb.nea.gov.cn/dtyw/jgdt/202601/t20260116_294284.html,official-published
anomaly_2025-12,AnomalyAssessment,2025-12 异常诊断,diagnosis,低温采暖负荷可能上升；只能给出候选解释，不能仅凭相关性认定因果,,confidence-低
source_026,Source,江苏GDP 2024-Q1 数据源,source,,https://tj.jiangsu.gov.cn/art/2024/4/22/art_85276_11223931.html,official-published
source_027,Source,江苏GDP 2024-Q2 数据源,source,,https://www.jiangsu.gov.cn/art/2024/7/24/art_34151_11305109.html,official-published
source_028,Source,江苏GDP 2024-Q3 数据源,source,,https://tj.jiangsu.gov.cn/art/2024/10/24/art_85275_11400783.html,official-published
source_029,Source,江苏GDP 2024-Q4 数据源,source,,https://tj.jiangsu.gov.cn/art/2025/3/15/art_85764_11514117.html,official-published
source_030,Source,江苏GDP 2025-Q1 数据源,source,,https://m.people.cn/n4/2025/0422/c1545-21613260.html,official-statistics-republished
source_031,Source,江苏GDP 2025-Q2 数据源,source,,https://tj.jiangsu.gov.cn/art/2025/7/22/art_85276_11605717.html,official-published
source_032,Source,江苏GDP 2025-Q3 数据源,source,,https://tj.jiangsu.gov.cn/art/2025/10/25/art_85275_11662557.html,official-published
source_033,Source,江苏GDP 2025-Q4 数据源,source,,https://tj.jiangsu.gov.cn/art/2026/3/19/art_85764_11744302.html,official-published
